Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Nathan Collins,ie IRL,DF,24-217,13.0,8,2,5,3,0,3,5,60.0,2,19,14,5,17,25,95,1,Matches
Sepp van den Berg,nl NED,DF,23-348,13.0,10,4,8,2,0,5,8,62.5,3,11,8,3,9,19,87,1,Matches
Caoimhín Kelleher,ie IRL,GK,27-010,13.0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,2,0,Matches
Michael Kayode,it ITA,DF,21-146,12.6,22,12,13,7,2,14,19,73.7,5,11,5,6,16,38,37,0,Matches
Thiago,br BRA,FW,24-160,12.2,16,9,2,9,5,7,11,63.6,4,11,1,10,2,18,28,0,Matches
Kevin Schade,de GER,FW,24-006,12.0,19,10,4,8,7,5,12,41.7,7,10,3,7,6,25,12,0,Matches
Jordan Henderson,eng ENG,MF,35-169,11.2,10,5,7,3,0,5,8,62.5,3,10,4,6,11,21,19,0,Matches
Yehor Yarmoliuk,ua UKR,MF,21-277,10.6,25,17,9,14,2,13,24,54.2,11,24,5,19,6,31,13,0,Matches
Mikkel Damsgaard,dk DEN,MF,25-153,9.8,23,15,5,11,7,7,23,30.4,16,19,2,17,9,32,7,0,Matches
Dango Ouattara,bf BFA,FW,23-295,8.8,7,4,1,2,4,3,8,37.5,5,16,0,16,9,16,19,0,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-284,5.3,9,5,5,2,2,4,7,57.1,3,3,0,3,2,11,16,0,Matches
Kristoffer Ajer,no NOR,DF,27-230,5.2,15,9,6,8,1,11,15,73.3,4,5,1,4,7,22,21,0,Matches
Aaron Hickey,sct SCO,DF,23-176,3.8,8,5,6,1,1,5,8,62.5,3,4,1,3,5,13,13,0,Matches
Mathias Jensen,dk DEN,MF,29-336,3.5,10,8,2,6,2,3,7,42.9,4,5,0,5,1,11,8,0,Matches
Ethan Pinnock,jm JAM,DF,32-188,1.7,2,1,1,1,0,0,2,0.0,2,5,4,1,2,4,7,0,Matches
Rico Henry,jm JAM,DF,28-148,2.3,4,4,2,2,0,2,2,100.0,0,0,0,0,3,7,5,1,Matches
Fabio Carvalho,pt POR,"FW,MF",23-095,1.1,3,2,0,1,2,1,1,100.0,0,1,0,1,0,3,1,0,Matches
Antoni Milambo,nl NED,MF,20-244,0.5,3,1,1,2,0,0,0,,0,2,0,2,0,3,0,0,Matches
Vitaly Janelt,de GER,MF,27-207,1.8,6,4,3,1,2,5,6,83.3,1,1,1,0,3,9,3,1,Matches
Frank Onyeka,ng NGA,MF,27-336,1.0,2,0,2,0,0,0,2,0.0,2,0,0,0,0,2,3,0,Matches
Reiss Nelson,eng ENG,FW,25-358,0.4,2,1,0,2,0,1,2,50.0,1,2,1,1,0,2,1,0,Matches
Squad Total,,,25.5,13.0,205,118,83,85,37,94,171,55.0,77,159,50,109,108,313,397,4,
Opponent Total,,,26.7,13.0,227,136,109,79,39,120,207,58.0,87,89,30,59,89,316,422,7,
