Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Nathan Collins,ie IRL,DF,24-217,13.0,10,0.77,9,0,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches
Sepp van den Berg,nl NED,DF,23-348,13.0,5,0.38,3,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Caoimhín Kelleher,ie IRL,GK,27-010,13.0,3,0.23,2,1,0,0,0,0,1,0.08,0,1,0,0,0,0,Matches
Michael Kayode,it ITA,DF,21-146,12.6,28,2.23,19,7,0,0,2,0,3,0.24,2,1,0,0,0,0,Matches
Thiago,br BRA,FW,24-160,12.2,24,1.96,18,0,1,5,0,0,4,0.33,4,0,0,0,0,0,Matches
Kevin Schade,de GER,FW,24-006,12.0,20,1.66,14,1,1,1,3,0,3,0.25,1,1,1,0,0,0,Matches
Jordan Henderson,eng ENG,MF,35-169,11.2,28,2.5,23,5,0,0,0,0,3,0.27,3,0,0,0,0,0,Matches
Yehor Yarmoliuk,ua UKR,MF,21-277,10.6,17,1.61,14,0,1,0,0,2,4,0.38,3,0,1,0,0,0,Matches
Mikkel Damsgaard,dk DEN,MF,25-153,9.8,35,3.56,20,10,3,1,1,0,4,0.41,4,0,0,0,0,0,Matches
Dango Ouattara,bf BFA,FW,23-295,8.8,21,2.38,10,1,3,2,5,0,6,0.68,0,0,1,1,4,0,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-284,5.3,7,1.32,5,1,0,0,1,0,1,0.19,1,0,0,0,0,0,Matches
Kristoffer Ajer,no NOR,DF,27-230,5.2,5,0.96,4,0,0,0,0,1,1,0.19,1,0,0,0,0,0,Matches
Aaron Hickey,sct SCO,DF,23-176,3.8,5,1.32,3,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Mathias Jensen,dk DEN,MF,29-336,3.5,11,3.15,8,2,0,1,0,0,1,0.29,1,0,0,0,0,0,Matches
Ethan Pinnock,jm JAM,DF,32-188,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rico Henry,jm JAM,DF,28-148,2.3,3,1.27,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Fabio Carvalho,pt POR,"FW,MF",23-095,1.1,3,2.65,1,1,1,0,0,0,1,0.88,0,1,0,0,0,0,Matches
Antoni Milambo,nl NED,MF,20-244,0.5,1,2.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Vitaly Janelt,de GER,MF,27-207,1.8,7,3.87,4,2,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Frank Onyeka,ng NGA,MF,27-336,1.0,1,0.97,1,0,0,0,0,0,1,0.97,1,0,0,0,0,0,Matches
Reiss Nelson,eng ENG,FW,25-358,0.4,1,2.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.5,13.0,235,18.08,162,33,11,12,14,3,34,2.62,22,4,3,1,4,0,
Opponent Total,,,26.7,13.0,266,20.46,200,18,12,22,8,6,33,2.54,22,1,3,3,3,1,
