Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Nathan Collins,ie IRL,DF,24-217,13.0,4,0,0,10,13,1,0,17,2,1,1,1,51,31,26,54.4,Matches
Sepp van den Berg,nl NED,DF,23-348,13.0,0,0,0,7,1,0,0,9,4,0,0,0,42,52,26,66.7,Matches
Caoimhín Kelleher,ie IRL,GK,27-010,13.0,1,0,0,0,3,0,0,0,0,0,0,0,15,1,1,50.0,Matches
Michael Kayode,it ITA,DF,21-146,12.6,1,0,0,9,11,0,25,16,12,0,1,0,57,10,5,66.7,Matches
Thiago,br BRA,FW,24-160,12.2,3,0,0,24,8,10,4,2,9,0,0,0,25,34,49,41.0,Matches
Kevin Schade,de GER,FW,24-006,12.0,4,0,0,21,17,5,9,6,10,1,0,0,44,36,26,58.1,Matches
Jordan Henderson,eng ENG,MF,35-169,11.2,3,0,0,10,6,1,24,11,5,0,0,0,51,2,6,25.0,Matches
Yehor Yarmoliuk,ua UKR,MF,21-277,10.6,1,0,0,17,3,0,3,6,17,0,0,0,66,5,8,38.5,Matches
Mikkel Damsgaard,dk DEN,MF,25-153,9.8,0,0,0,7,9,1,69,9,15,0,0,0,45,4,14,22.2,Matches
Dango Ouattara,bf BFA,FW,23-295,8.8,3,0,0,15,18,2,34,9,4,4,0,0,32,24,21,53.3,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-284,5.3,1,0,0,5,8,0,18,2,5,0,0,0,21,2,3,40.0,Matches
Kristoffer Ajer,no NOR,DF,27-230,5.2,0,0,0,2,3,0,2,7,9,0,0,0,12,21,12,63.6,Matches
Aaron Hickey,sct SCO,DF,23-176,3.8,1,0,0,3,3,0,2,5,5,0,0,0,18,8,4,66.7,Matches
Mathias Jensen,dk DEN,MF,29-336,3.5,0,0,0,3,1,2,16,1,8,0,0,0,15,2,6,25.0,Matches
Ethan Pinnock,jm JAM,DF,32-188,1.7,1,0,0,0,2,0,0,2,1,0,0,1,4,3,5,37.5,Matches
Rico Henry,jm JAM,DF,28-148,2.3,1,0,0,2,2,0,8,3,4,0,1,0,11,2,3,40.0,Matches
Fabio Carvalho,pt POR,"FW,MF",23-095,1.1,0,0,0,0,0,0,5,0,2,0,0,0,5,1,3,25.0,Matches
Antoni Milambo,nl NED,MF,20-244,0.5,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,66.7,Matches
Vitaly Janelt,de GER,MF,27-207,1.8,1,0,0,4,1,0,5,3,4,0,0,0,12,3,2,60.0,Matches
Frank Onyeka,ng NGA,MF,27-336,1.0,0,0,0,3,3,0,0,0,0,0,0,0,5,1,1,50.0,Matches
Reiss Nelson,eng ENG,FW,25-358,0.4,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,,Matches
Squad Total,,,25.5,13.0,25,0,0,142,113,22,224,108,118,6,3,2,539,244,222,52.4,
Opponent Total,,,26.7,13.0,28,1,1,120,139,15,228,89,136,3,7,0,506,222,244,47.6,
