Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Nathan Collins,ie IRL,DF,24-217,13.0,773,144,457,276,46,27,773,5,2,40.0,2,40.0,367,1834,1088,3,2,1,5,7,450,1,Matches
Sepp van den Berg,nl NED,DF,23-348,13.0,677,140,376,270,34,20,677,0,0,,0,,293,1581,935,9,0,0,6,0,389,7,Matches
Caoimhín Kelleher,ie IRL,GK,27-010,13.0,490,363,469,21,0,0,490,2,1,50.0,0,0.0,269,1220,733,0,0,0,0,0,258,0,Matches
Michael Kayode,it ITA,DF,21-146,12.6,677,46,222,268,198,12,677,45,24,53.3,14,31.1,278,1774,884,23,18,3,12,11,307,50,Matches
Thiago,br BRA,FW,24-160,12.2,368,31,61,163,150,50,362,16,9,56.3,6,37.5,144,671,154,5,6,5,36,15,212,39,Matches
Kevin Schade,de GER,FW,24-006,12.0,369,24,71,147,161,51,368,37,8,21.6,24,64.9,168,1248,540,21,13,14,34,20,226,43,Matches
Jordan Henderson,eng ENG,MF,35-169,11.2,663,38,179,406,86,5,663,3,1,33.3,2,66.7,328,1528,681,6,8,1,9,2,451,10,Matches
Yehor Yarmoliuk,ua UKR,MF,21-277,10.6,527,19,157,290,84,4,527,21,8,38.1,13,61.9,255,1350,568,11,8,1,12,5,296,10,Matches
Mikkel Damsgaard,dk DEN,MF,25-153,9.8,523,11,76,246,207,21,523,21,7,33.3,12,57.1,247,1167,575,18,15,6,22,13,299,42,Matches
Dango Ouattara,bf BFA,FW,23-295,8.8,357,21,55,125,180,43,357,37,8,21.6,25,67.6,157,994,467,23,10,13,24,11,201,59,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-284,5.3,200,12,76,78,49,9,200,7,2,28.6,4,57.1,103,547,305,10,4,5,5,8,104,20,Matches
Kristoffer Ajer,no NOR,DF,27-230,5.2,241,15,83,115,45,17,241,8,2,25.0,5,62.5,102,589,365,6,4,0,5,2,130,7,Matches
Aaron Hickey,sct SCO,DF,23-176,3.8,203,8,77,89,38,7,203,4,0,0.0,3,75.0,81,400,179,2,2,0,7,4,102,9,Matches
Mathias Jensen,dk DEN,MF,29-336,3.5,210,9,43,116,53,8,210,6,3,50.0,3,50.0,91,329,156,4,3,1,5,4,122,7,Matches
Ethan Pinnock,jm JAM,DF,32-188,1.7,93,16,53,34,6,5,93,0,0,,0,,51,207,85,0,0,0,0,1,59,2,Matches
Rico Henry,jm JAM,DF,28-148,2.3,115,7,40,42,39,6,115,10,8,80.0,2,20.0,59,524,316,14,8,3,5,1,70,14,Matches
Fabio Carvalho,pt POR,"FW,MF",23-095,1.1,42,1,3,23,17,2,42,3,1,33.3,2,66.7,16,97,31,2,1,0,1,1,20,6,Matches
Antoni Milambo,nl NED,MF,20-244,0.5,19,1,6,10,4,0,19,0,0,,0,,5,32,30,1,2,0,1,0,8,1,Matches
Vitaly Janelt,de GER,MF,27-207,1.8,131,3,28,64,40,6,131,0,0,,0,,52,159,71,1,2,0,1,1,74,1,Matches
Frank Onyeka,ng NGA,MF,27-336,1.0,50,3,9,31,11,2,50,4,2,50.0,2,50.0,22,128,53,2,1,0,3,0,26,2,Matches
Reiss Nelson,eng ENG,FW,25-358,0.4,25,1,2,12,12,1,25,2,1,50.0,1,50.0,12,67,31,1,1,0,1,1,16,4,Matches
Squad Total,,,25.5,13.0,6753,913,2543,2826,1460,296,6746,231,87,37.7,120,51.9,3100,16446,8247,162,108,53,194,107,3820,334,
Opponent Total,,,26.7,13.0,8342,842,2593,3866,1958,303,8339,197,77,39.1,94,47.7,4777,23446,12279,225,171,51,204,111,5431,483,
