Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Nathan Collins,ie IRL,DF,24-217,13.0,0,8,3,37.5,0.62,0.23,0.0,0.0,7.9,0,0,0,1.0,1.0,0.13,-1.0,-1.0,Matches
Sepp van den Berg,nl NED,DF,23-348,13.0,0,9,4,44.4,0.69,0.31,0.0,0.0,7.4,0,0,0,1.6,1.6,0.18,-1.6,-1.6,Matches
Caoimhín Kelleher,ie IRL,GK,27-010,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Michael Kayode,it ITA,DF,21-146,12.6,0,4,1,25.0,0.32,0.08,0.0,0.0,16.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Thiago,br BRA,FW,24-160,12.2,11,26,13,50.0,2.13,1.06,0.23,0.46,15.3,0,5,6,8.5,3.8,0.15,2.5,2.2,Matches
Kevin Schade,de GER,FW,24-006,12.0,3,18,6,33.3,1.49,0.5,0.17,0.5,12.1,0,0,1,3.2,2.4,0.13,-0.2,0.6,Matches
Jordan Henderson,eng ENG,MF,35-169,11.2,0,4,0,0.0,0.36,0.0,0.0,,25.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Yehor Yarmoliuk,ua UKR,MF,21-277,10.6,0,8,3,37.5,0.75,0.28,0.0,0.0,21.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Mikkel Damsgaard,dk DEN,MF,25-153,9.8,1,10,5,50.0,1.02,0.51,0.1,0.2,20.8,1,0,0,0.7,0.7,0.07,0.3,0.3,Matches
Dango Ouattara,bf BFA,FW,23-295,8.8,3,21,6,28.6,2.38,0.68,0.14,0.5,12.2,0,0,0,3.3,3.3,0.17,-0.3,-0.3,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-284,5.3,0,4,1,25.0,0.75,0.19,0.0,0.0,23.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Kristoffer Ajer,no NOR,DF,27-230,5.2,0,7,2,28.6,1.35,0.38,0.0,0.0,15.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Aaron Hickey,sct SCO,DF,23-176,3.8,0,4,1,25.0,1.06,0.26,0.0,0.0,16.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
Mathias Jensen,dk DEN,MF,29-336,3.5,2,4,2,50.0,1.15,0.57,0.5,1.0,20.0,0,0,0,0.5,0.5,0.14,1.5,1.5,Matches
Ethan Pinnock,jm JAM,DF,32-188,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rico Henry,jm JAM,DF,28-148,2.3,0,2,0,0.0,0.86,0.0,0.0,,16.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Fabio Carvalho,pt POR,"FW,MF",23-095,1.1,1,2,1,50.0,1.76,0.88,0.5,1.0,12.4,0,0,0,0.7,0.7,0.35,0.3,0.3,Matches
Antoni Milambo,nl NED,MF,20-244,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Vitaly Janelt,de GER,MF,27-207,1.8,0,2,0,0.0,1.11,0.0,0.0,,17.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Frank Onyeka,ng NGA,MF,27-336,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Reiss Nelson,eng ENG,FW,25-358,0.4,0,1,1,100.0,2.73,2.73,0.0,0.0,22.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Squad Total,,,25.5,13.0,21,134,49,36.6,10.31,3.77,0.12,0.33,15.0,1,5,7,21.2,15.8,0.12,-0.2,0.2,
Opponent Total,,,26.7,13.0,18,151,43,28.5,11.62,3.31,0.11,0.37,18.2,3,2,3,15.5,13.1,0.09,2.5,2.9,
