Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches
Nathan Collins,ie IRL,DF,24-217,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.9,2.0,3.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.15,0.08,0.15,Matches
Sepp van den Berg,nl NED,DF,23-348,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.5,2.1,9.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.16,0.12,0.16,Matches
Caoimhín Kelleher,ie IRL,GK,27-010,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Michael Kayode,it ITA,DF,21-146,13,13,1132.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.6,1.8,23.0,22.0,50.0,0.0,0.0,0.0,0.0,0.0,0.02,0.13,0.15,0.02,0.15,Matches
Thiago,br BRA,FW,24-160,13,13,1101.0,12.2,11.0,0.0,11.0,6.0,5.0,6.0,3.0,0.0,8.5,3.8,1.2,5.0,5.0,13.0,39.0,0.9,0.0,0.9,0.49,0.49,0.7,0.1,0.79,0.31,0.41,Matches
Kevin Schade,de GER,FW,24-006,13,12,1084.0,12.0,3.0,1.0,4.0,3.0,0.0,1.0,4.0,0.0,3.2,2.4,1.4,3.8,21.0,11.0,43.0,0.25,0.08,0.33,0.25,0.33,0.26,0.11,0.38,0.2,0.31,Matches
Jordan Henderson,eng ENG,MF,35-169,13,12,1010.0,11.2,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,1.4,1.5,6.0,56.0,10.0,0.0,0.27,0.27,0.0,0.27,0.01,0.12,0.13,0.01,0.13,Matches
Yehor Yarmoliuk,ua UKR,MF,21-277,13,12,954.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.7,11.0,33.0,10.0,0.0,0.09,0.09,0.0,0.09,0.03,0.03,0.06,0.03,0.06,Matches
Mikkel Damsgaard,dk DEN,MF,25-153,11,11,885.0,9.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,1.9,2.6,18.0,51.0,42.0,0.1,0.1,0.2,0.1,0.2,0.07,0.19,0.26,0.07,0.26,Matches
Dango Ouattara,bf BFA,FW,23-295,12,9,795.0,8.8,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,3.3,3.3,1.1,4.4,23.0,13.0,59.0,0.34,0.0,0.34,0.34,0.34,0.38,0.12,0.5,0.38,0.5,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-284,11,5,477.0,5.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.8,10.0,9.0,20.0,0.0,0.19,0.19,0.0,0.19,0.04,0.12,0.15,0.04,0.15,Matches
Kristoffer Ajer,no NOR,DF,27-230,8,5,468.0,5.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7,1.2,6.0,16.0,7.0,0.0,0.19,0.19,0.0,0.19,0.1,0.13,0.23,0.1,0.23,Matches
Aaron Hickey,sct SCO,DF,23-176,8,4,341.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,2.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Mathias Jensen,dk DEN,MF,29-336,11,3,314.0,3.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,4.0,21.0,7.0,0.57,0.0,0.57,0.57,0.57,0.16,0.06,0.21,0.16,0.21,Matches
Ethan Pinnock,jm JAM,DF,32-188,2,2,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rico Henry,jm JAM,DF,28-148,9,1,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.3,14.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.11,0.05,0.11,Matches
Fabio Carvalho,pt POR,"FW,MF",23-095,6,1,102.0,1.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,2.0,2.0,6.0,0.88,0.0,0.88,0.88,0.88,0.62,0.0,0.62,0.62,0.62,Matches
Antoni Milambo,nl NED,MF,20-244,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vitaly Janelt,de GER,MF,27-207,8,0,162.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13,0.04,0.16,0.13,0.16,Matches
Frank Onyeka,ng NGA,MF,27-336,6,0,92.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,4.0,2.0,0.0,0.98,0.98,0.0,0.98,0.0,0.12,0.12,0.0,0.12,Matches
Reiss Nelson,eng ENG,FW,25-358,3,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
Benjamin Arthur,eng ENG,DF,20-055,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Myles Peart-Harris,eng ENG,MF,23-076,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mads Roerslev,dk DEN,"DF,MF",26-162,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Hákon Valdimarsson,is ISL,GK,24-051,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.5,13,143,1170.0,13.0,21.0,9.0,30.0,16.0,5.0,7.0,25.0,0.0,21.2,15.8,12.0,27.8,162.0,338.0,334.0,1.62,0.69,2.31,1.23,1.92,1.63,0.92,2.56,1.21,2.14,
Opponent Total,,,26.7,13,143,1170.0,13.0,18.0,10.0,28.0,16.0,2.0,3.0,28.0,1.0,15.5,13.1,9.1,22.2,225.0,489.0,483.0,1.38,0.77,2.15,1.23,2.0,1.19,0.7,1.89,1.01,1.71,
