Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-055,13.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,8,3,Matches
Micky van de Ven,nl NED,DF,24-226,12.9,16,7,11,4,1,8,10,80.0,2,12,4,8,14,30,45,2,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-121,11.6,21,12,8,12,1,3,11,27.3,8,6,0,6,1,22,4,0,Matches
João Palhinha,pt POR,MF,30-145,11.2,58,37,23,30,5,33,44,75.0,11,12,2,10,13,71,22,0,Matches
Pedro Porro,es ESP,DF,26-079,10.8,19,13,9,5,5,14,30,46.7,16,13,2,11,8,27,48,4,Matches
Djed Spence,eng ENG,DF,25-114,9.3,15,10,10,4,1,11,16,68.8,5,7,1,6,3,18,27,0,Matches
Cristian Romero,ar ARG,DF,27-218,9.3,24,9,16,5,3,10,13,76.9,3,14,6,8,13,37,35,1,Matches
Rodrigo Bentancur,uy URU,MF,28-159,8.4,17,8,5,10,2,8,12,66.7,4,15,3,12,6,23,21,1,Matches
Richarlison,br BRA,FW,28-205,8.7,8,5,1,6,1,1,6,16.7,5,6,1,5,2,10,22,1,Matches
Pape Matar Sarr,sn SEN,MF,23-078,6.8,10,6,2,4,4,2,7,28.6,5,6,3,3,7,17,16,1,Matches
Xavi Simons,nl NED,"MF,FW",22-224,6.8,13,8,7,5,1,8,16,50.0,8,11,0,11,3,16,7,0,Matches
Lucas Bergvall,se SWE,MF,19-302,5.4,15,8,3,11,1,4,7,57.1,3,5,0,5,2,17,9,1,Matches
Destiny Udogie,it ITA,DF,23-003,5.8,11,8,5,5,1,7,10,70.0,3,13,3,10,3,14,10,0,Matches
Brennan Johnson,wls WAL,FW,24-192,5.4,11,7,5,5,1,2,4,50.0,2,3,0,3,2,13,16,1,Matches
Kevin Danso,at AUT,DF,27-073,4.4,7,5,2,5,0,5,5,100.0,0,5,3,2,3,10,41,0,Matches
Wilson Odobert,fr FRA,"FW,MF",21-003,5.3,4,4,4,0,0,1,1,100.0,0,1,0,1,0,4,8,1,Matches
Randal Kolo Muani,fr FRA,FW,26-361,3.4,6,4,1,4,1,1,4,25.0,3,2,0,2,1,7,2,0,Matches
Mathys Tel,fr FRA,FW,20-218,2.9,5,2,2,2,1,3,4,75.0,1,1,0,1,0,5,2,0,Matches
Archie Gray,eng ENG,MF,19-264,1.5,1,1,1,0,0,1,2,50.0,1,2,0,2,2,3,3,0,Matches
Dominic Solanke,eng ENG,FW,28-078,0.4,1,1,0,1,0,0,0,,0,1,0,1,1,2,1,0,Matches
Squad Total,,,25.8,13.0,262,155,115,118,29,122,203,60.1,81,136,28,108,84,346,347,16,
Opponent Total,,,27.1,13.0,278,153,126,111,41,138,257,53.7,119,122,27,95,99,377,398,11,
