Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-055,13.0,2,0.15,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Micky van de Ven,nl NED,DF,24-226,12.9,7,0.54,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-121,11.6,34,2.94,17,9,4,2,2,0,7,0.6,4,1,1,1,0,0,Matches
João Palhinha,pt POR,MF,30-145,11.2,12,1.07,11,0,0,0,0,1,4,0.36,3,0,0,0,0,1,Matches
Pedro Porro,es ESP,DF,26-079,10.8,29,2.7,20,5,0,1,2,1,2,0.19,1,1,0,0,0,0,Matches
Djed Spence,eng ENG,DF,25-114,9.3,8,0.86,7,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cristian Romero,ar ARG,DF,27-218,9.3,8,0.86,7,0,0,0,0,1,2,0.21,2,0,0,0,0,0,Matches
Rodrigo Bentancur,uy URU,MF,28-159,8.4,15,1.79,14,0,1,0,0,0,2,0.24,2,0,0,0,0,0,Matches
Richarlison,br BRA,FW,28-205,8.7,12,1.38,6,0,2,3,1,0,3,0.34,2,0,1,0,0,0,Matches
Pape Matar Sarr,sn SEN,MF,23-078,6.8,9,1.32,8,0,0,0,0,1,5,0.73,4,0,0,0,0,1,Matches
Xavi Simons,nl NED,"MF,FW",22-224,6.8,14,2.07,10,1,0,1,2,0,1,0.15,0,1,0,0,0,0,Matches
Lucas Bergvall,se SWE,MF,19-302,5.4,10,1.84,5,3,1,1,0,0,2,0.37,2,0,0,0,0,0,Matches
Destiny Udogie,it ITA,DF,23-003,5.8,13,2.25,11,0,0,1,1,0,1,0.17,1,0,0,0,0,0,Matches
Brennan Johnson,wls WAL,FW,24-192,5.4,8,1.49,6,0,2,0,0,0,1,0.19,0,0,1,0,0,0,Matches
Kevin Danso,at AUT,DF,27-073,4.4,5,1.14,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Wilson Odobert,fr FRA,"FW,MF",21-003,5.3,17,3.2,15,0,1,1,0,0,2,0.38,1,0,0,1,0,0,Matches
Randal Kolo Muani,fr FRA,FW,26-361,3.4,4,1.18,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mathys Tel,fr FRA,FW,20-218,2.9,4,1.41,4,0,0,0,0,0,2,0.7,2,0,0,0,0,0,Matches
Archie Gray,eng ENG,MF,19-264,1.5,4,2.75,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dominic Solanke,eng ENG,FW,28-078,0.4,1,2.81,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.8,13.0,216,16.62,162,19,12,11,8,4,34,2.62,24,3,3,2,0,2,
Opponent Total,,,27.1,13.0,268,20.62,194,21,17,17,14,5,26,2.0,17,1,4,2,1,1,
