Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-055,13.0,408,532,76.7,9730,5919,82,82,100.0,237,238,99.6,89,209,42.6,0,0.0,0.0,0.0,0,8,0,0,0,Matches
Micky van de Ven,nl NED,DF,24-226,12.9,695,768,90.5,13884,4127,200,205,97.6,437,454,96.3,55,97,56.7,0,0.1,0.3,-0.1,2,36,1,0,35,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-121,11.6,270,375,72.0,4664,1134,140,155,90.3,90,119,75.6,36,77,46.8,4,2.1,1.4,1.9,16,16,14,9,27,Matches
João Palhinha,pt POR,MF,30-145,11.2,402,489,82.2,6895,1663,184,207,88.9,180,202,89.1,29,53,54.7,2,0.1,0.4,1.9,3,32,1,0,33,Matches
Pedro Porro,es ESP,DF,26-079,10.8,494,717,68.9,9222,4118,226,250,90.4,199,258,77.1,63,179,35.2,1,1.4,1.6,-0.4,15,65,18,11,65,Matches
Djed Spence,eng ENG,DF,25-114,9.3,355,447,79.4,6114,1719,166,180,92.2,157,188,83.5,27,53,50.9,0,0.1,0.2,-0.1,2,36,4,1,34,Matches
Cristian Romero,ar ARG,DF,27-218,9.3,489,551,88.7,9450,3665,144,159,90.6,301,324,92.9,39,58,67.2,1,0.2,0.3,0.8,2,33,3,0,42,Matches
Rodrigo Bentancur,uy URU,MF,28-159,8.4,344,402,85.6,5734,1262,151,172,87.8,174,191,91.1,15,24,62.5,1,0.6,0.5,0.4,7,25,4,1,30,Matches
Richarlison,br BRA,FW,28-205,8.7,78,131,59.5,1135,316,48,64,75.0,17,28,60.7,7,11,63.6,2,1.3,0.6,0.7,7,5,2,0,14,Matches
Pape Matar Sarr,sn SEN,MF,23-078,6.8,232,283,82.0,3505,735,118,139,84.9,90,106,84.9,11,16,68.8,2,0.6,0.4,1.4,4,27,2,0,21,Matches
Xavi Simons,nl NED,"MF,FW",22-224,6.8,218,280,77.9,3639,797,106,124,85.5,90,105,85.7,17,37,45.9,1,0.6,0.7,0.4,6,13,10,2,45,Matches
Lucas Bergvall,se SWE,MF,19-302,5.4,145,192,75.5,2498,631,67,77,87.0,60,74,81.1,14,32,43.8,2,0.3,0.3,1.7,3,20,4,1,27,Matches
Destiny Udogie,it ITA,DF,23-003,5.8,278,327,85.0,4340,1645,139,156,89.1,129,141,91.5,6,14,42.9,1,0.4,0.3,0.6,7,33,7,1,33,Matches
Brennan Johnson,wls WAL,FW,24-192,5.4,81,126,64.3,1167,245,53,63,84.1,22,37,59.5,4,17,23.5,0,0.3,0.2,-0.3,4,6,3,2,7,Matches
Kevin Danso,at AUT,DF,27-073,4.4,258,310,83.2,4935,1676,72,78,92.3,163,175,93.1,19,48,39.6,0,0.0,0.1,0.0,0,15,1,0,19,Matches
Wilson Odobert,fr FRA,"FW,MF",21-003,5.3,137,167,82.0,2095,513,75,83,90.4,49,60,81.7,9,13,69.2,1,1.0,0.6,0.0,7,14,8,3,20,Matches
Randal Kolo Muani,fr FRA,FW,26-361,3.4,30,43,69.8,358,68,23,33,69.7,6,8,75.0,0,0,,0,0.1,0.1,-0.1,2,0,0,0,0,Matches
Mathys Tel,fr FRA,FW,20-218,2.9,33,48,68.8,657,261,15,18,83.3,13,16,81.3,5,9,55.6,0,0.0,0.1,0.0,0,5,1,1,4,Matches
Archie Gray,eng ENG,MF,19-264,1.5,68,75,90.7,1194,239,27,28,96.4,36,41,87.8,3,4,75.0,0,0.0,0.1,0.0,1,14,1,0,10,Matches
Dominic Solanke,eng ENG,FW,28-078,0.4,2,2,100.0,19,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,25.8,13.0,5017,6265,80.1,91235,30733,2038,2275,89.6,2450,2765,88.6,448,951,47.1,18,9.0,8.1,9.0,88,403,84,32,466,
Opponent Total,,,27.1,13.0,4240,5447,77.8,75360,27842,1852,2095,88.4,1893,2195,86.2,386,847,45.6,12,13.8,11.9,-1.8,114,330,81,21,416,
