Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-055,13.0,532,442,87,31,0,0,0,0,0,0,0,0,408,3,0,Matches
Micky van de Ven,nl NED,DF,24-226,12.9,768,708,59,14,0,1,1,4,0,0,0,0,695,1,1,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-121,11.6,375,321,52,6,0,3,89,7,39,35,0,0,270,2,13,Matches
João Palhinha,pt POR,MF,30-145,11.2,489,470,16,15,0,7,2,1,0,0,0,0,402,3,8,Matches
Pedro Porro,es ESP,DF,26-079,10.8,717,577,136,19,2,7,87,97,20,16,2,0,494,4,20,Matches
Djed Spence,eng ENG,DF,25-114,9.3,447,381,62,2,0,3,18,60,0,0,0,0,355,4,11,Matches
Cristian Romero,ar ARG,DF,27-218,9.3,551,513,37,27,0,2,0,1,0,0,0,0,489,1,1,Matches
Rodrigo Bentancur,uy URU,MF,28-159,8.4,402,394,8,4,1,0,3,1,0,0,0,0,344,0,5,Matches
Richarlison,br BRA,FW,28-205,8.7,131,126,2,0,0,0,5,2,0,0,0,0,78,3,10,Matches
Pape Matar Sarr,sn SEN,MF,23-078,6.8,283,271,11,3,1,1,5,2,0,0,0,0,232,1,5,Matches
Xavi Simons,nl NED,"MF,FW",22-224,6.8,280,245,33,6,1,2,24,3,14,14,0,0,218,2,4,Matches
Lucas Bergvall,se SWE,MF,19-302,5.4,192,164,27,0,0,2,9,20,0,0,0,0,145,1,1,Matches
Destiny Udogie,it ITA,DF,23-003,5.8,327,277,50,7,0,1,6,43,0,0,0,0,278,0,15,Matches
Brennan Johnson,wls WAL,FW,24-192,5.4,126,123,3,1,0,0,20,2,0,0,0,0,81,0,4,Matches
Kevin Danso,at AUT,DF,27-073,4.4,310,282,27,3,0,0,2,24,0,0,0,0,258,1,5,Matches
Wilson Odobert,fr FRA,"FW,MF",21-003,5.3,167,165,1,0,0,1,13,1,0,0,0,0,137,1,5,Matches
Randal Kolo Muani,fr FRA,FW,26-361,3.4,43,43,0,0,1,0,1,0,0,0,0,0,30,0,1,Matches
Mathys Tel,fr FRA,FW,20-218,2.9,48,45,3,0,0,1,5,0,3,2,1,0,33,0,3,Matches
Archie Gray,eng ENG,MF,19-264,1.5,75,72,3,0,0,0,1,0,0,0,0,0,68,0,0,Matches
Dominic Solanke,eng ENG,FW,28-078,0.4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Squad Total,,,25.8,13.0,6265,5621,617,138,6,31,291,268,76,67,3,0,5017,27,112,
Opponent Total,,,27.1,13.0,5447,4791,634,174,23,28,199,250,66,44,12,1,4240,22,123,
