Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-055,13,1170.0,90.0,100.0,13.0,13,90.0,13,0,,0,1.38,21.0,16.0,5.0,0.38,,11.9,17.5,-5.6,-0.43,,Matches
Micky van de Ven,nl NED,DF,24-226,13,1159.0,89.0,99.1,12.9,13,89.0,12,0,,0,1.38,21.0,16.0,5.0,0.39,0.39,11.5,17.5,-6.0,-0.47,-4.2,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-121,12,1042.0,87.0,89.1,11.6,12,87.0,7,0,,0,1.42,18.0,14.0,4.0,0.35,-0.36,10.2,15.9,-5.7,-0.5,-0.6,Matches
João Palhinha,pt POR,MF,30-145,13,1010.0,78.0,86.3,11.2,12,83.0,8,1,11.0,0,1.38,16.0,15.0,1.0,0.09,-2.16,8.4,16.1,-7.7,-0.69,-1.87,Matches
Pedro Porro,es ESP,DF,26-079,13,968.0,74.0,82.7,10.8,11,84.0,7,2,21.0,0,1.38,18.0,10.0,8.0,0.74,2.08,10.6,13.0,-2.4,-0.22,1.21,Matches
Djed Spence,eng ENG,DF,25-114,11,835.0,76.0,71.4,9.3,10,83.0,6,1,2.0,2,1.36,15.0,11.0,4.0,0.43,0.16,8.5,13.6,-5.1,-0.55,-0.41,Matches
Cristian Romero,ar ARG,DF,27-218,10,838.0,84.0,71.6,9.3,9,90.0,8,1,31.0,0,1.5,15.0,10.0,5.0,0.54,0.54,8.1,12.7,-4.6,-0.49,-0.23,Matches
Rodrigo Bentancur,uy URU,MF,28-159,12,753.0,63.0,64.4,8.4,9,77.0,4,3,21.0,1,1.25,12.0,12.0,0.0,0.0,-1.08,7.1,12.1,-5.0,-0.6,-0.48,Matches
Richarlison,br BRA,FW,28-205,13,784.0,60.0,67.0,8.7,8,82.0,5,5,26.0,0,1.38,13.0,13.0,0.0,0.0,-1.17,7.7,11.6,-4.0,-0.46,-0.08,Matches
Pape Matar Sarr,sn SEN,MF,23-078,12,612.0,51.0,52.3,6.8,6,88.0,5,6,15.0,1,1.42,12.0,5.0,7.0,1.03,1.35,6.8,10.6,-3.8,-0.56,-0.28,Matches
Xavi Simons,nl NED,"MF,FW",22-224,10,608.0,61.0,52.0,6.8,6,73.0,0,4,43.0,0,1.2,10.0,8.0,2.0,0.3,-0.18,5.3,9.0,-3.7,-0.54,-0.23,Matches
Lucas Bergvall,se SWE,MF,19-302,10,489.0,49.0,41.8,5.4,6,68.0,0,4,21.0,2,1.4,10.0,5.0,5.0,0.92,0.92,6.8,5.4,1.3,0.24,1.16,Matches
Destiny Udogie,it ITA,DF,23-003,9,519.0,58.0,44.4,5.8,5,87.0,3,4,21.0,0,1.0,8.0,11.0,-3.0,-0.52,-1.63,4.4,8.3,-3.9,-0.67,-0.44,Matches
Brennan Johnson,wls WAL,FW,24-192,12,484.0,40.0,41.4,5.4,5,78.0,1,7,14.0,1,1.5,12.0,3.0,9.0,1.67,2.2,6.4,8.4,-2.0,-0.37,0.1,Matches
Kevin Danso,at AUT,DF,27-073,9,395.0,44.0,33.8,4.4,5,75.0,3,4,5.0,4,1.44,6.0,8.0,-2.0,-0.46,-1.27,4.5,5.9,-1.4,-0.31,0.18,Matches
Wilson Odobert,fr FRA,"FW,MF",21-003,12,478.0,40.0,40.9,5.3,4,75.0,0,8,23.0,1,1.25,8.0,9.0,-1.0,-0.19,-0.97,5.0,6.1,-1.1,-0.21,0.37,Matches
Randal Kolo Muani,fr FRA,FW,26-361,6,305.0,51.0,26.1,3.4,4,67.0,1,2,19.0,1,0.67,3.0,5.0,-2.0,-0.59,-1.32,2.4,5.1,-2.7,-0.8,-0.5,Matches
Mathys Tel,fr FRA,FW,20-218,9,257.0,29.0,22.0,2.9,3,70.0,0,6,8.0,4,1.56,9.0,3.0,6.0,2.1,2.2,2.6,2.3,0.3,0.11,0.69,Matches
Archie Gray,eng ENG,MF,19-264,3,131.0,44.0,11.2,1.5,2,65.0,0,1,2.0,7,1.33,4.0,2.0,2.0,1.37,1.11,2.3,1.1,1.2,0.8,1.39,Matches
Dominic Solanke,eng ENG,FW,28-078,2,33.0,17.0,2.8,0.4,0,,0,2,17.0,0,3.0,0.0,0.0,0.0,0.0,-0.4,0.6,0.2,0.4,1.02,1.49,Matches
Yusuf Akhamrich,eng ENG,FW,20-087,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jun'ai Byfield,eng ENG,DF,16-360,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Ben Davies,wls WAL,"DF,MF",32-221,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Antonín Kinský,cz CZE,GK,22-263,0,,,,,0,,0,0,,13,,,,,,,,,,,,Matches
James Rowswell,eng ENG,DF,19-141,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Dane Scarlett,eng ENG,FW,21-252,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Manor Solomon,il ISR,"FW,MF",26-130,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Luka Vušković,hr CRO,DF,18-280,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,25.8,13,1170.0,90.0,100.0,13.0,143,82.0,83,61,18.0,55,1.38,21.0,16.0,5.0,0.38,,11.9,17.5,-5.6,-0.43,,
Opponent Total,,,27.1,13,1170.0,90.0,100.0,13.0,143,82.0,84,58,20.0,59,1.38,16.0,21.0,-5.0,-0.38,,17.5,11.9,5.6,0.43,,
