Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-055,13.0,567,405,556,11,0,0,567,0,0,,0,,351,1462,752,0,0,0,0,0,334,0,Matches
Micky van de Ven,nl NED,DF,24-226,12.9,882,134,472,375,41,15,882,9,4,44.4,4,44.4,515,2255,1075,6,5,0,6,1,610,2,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-121,11.6,533,3,57,186,304,39,533,84,37,44.0,41,48.8,310,2241,959,42,19,12,42,37,349,97,Matches
João Palhinha,pt POR,MF,30-145,11.2,638,34,181,377,86,15,638,15,4,26.7,8,53.3,279,1143,502,5,3,0,10,15,382,11,Matches
Pedro Porro,es ESP,DF,26-079,10.8,848,36,267,354,235,11,848,18,7,38.9,9,50.0,430,2105,1133,26,19,2,11,2,501,33,Matches
Djed Spence,eng ENG,DF,25-114,9.3,540,30,154,255,136,8,540,24,7,29.2,15,62.5,312,2022,1044,30,19,4,11,13,353,39,Matches
Cristian Romero,ar ARG,DF,27-218,9.3,654,80,323,311,29,12,654,4,4,100.0,0,0.0,370,1712,971,2,6,0,7,2,407,0,Matches
Rodrigo Bentancur,uy URU,MF,28-159,8.4,503,31,149,274,82,17,503,11,6,54.5,5,45.5,246,1173,434,4,1,0,14,5,311,13,Matches
Richarlison,br BRA,FW,28-205,8.7,244,20,33,96,119,46,244,11,5,45.5,5,45.5,131,459,167,8,4,4,25,11,159,36,Matches
Pape Matar Sarr,sn SEN,MF,23-078,6.8,354,19,84,184,90,13,354,8,4,50.0,3,37.5,190,1221,547,12,11,2,9,7,225,25,Matches
Xavi Simons,nl NED,"MF,FW",22-224,6.8,391,7,54,178,169,11,391,32,9,28.1,16,50.0,209,1549,745,26,21,5,24,14,250,35,Matches
Lucas Bergvall,se SWE,MF,19-302,5.4,251,7,37,118,99,15,251,13,9,69.2,3,23.1,131,925,449,10,10,2,8,4,139,25,Matches
Destiny Udogie,it ITA,DF,23-003,5.8,402,12,87,206,116,21,402,15,3,20.0,7,46.7,213,1291,790,20,11,6,12,6,238,40,Matches
Brennan Johnson,wls WAL,FW,24-192,5.4,191,13,35,64,92,14,191,8,3,37.5,4,50.0,93,544,270,10,4,5,12,3,118,31,Matches
Kevin Danso,at AUT,DF,27-073,4.4,377,46,184,166,28,2,377,0,0,,0,,208,1106,659,3,3,0,3,2,235,0,Matches
Wilson Odobert,fr FRA,"FW,MF",21-003,5.3,231,7,28,77,128,21,231,26,13,50.0,11,42.3,143,1136,564,21,10,6,15,9,165,39,Matches
Randal Kolo Muani,fr FRA,FW,26-361,3.4,84,3,11,34,40,9,84,6,1,16.7,5,83.3,49,217,76,2,1,2,16,5,63,20,Matches
Mathys Tel,fr FRA,FW,20-218,2.9,75,2,8,37,31,10,75,4,2,50.0,2,50.0,45,292,111,4,1,4,10,2,55,14,Matches
Archie Gray,eng ENG,MF,19-264,1.5,86,4,14,59,13,2,86,1,1,100.0,0,0.0,58,288,137,3,1,1,1,2,61,0,Matches
Dominic Solanke,eng ENG,FW,28-078,0.4,11,1,3,2,6,4,11,0,0,,0,,5,15,1,0,0,0,2,0,6,2,Matches
Squad Total,,,25.8,13.0,7862,894,2737,3364,1844,285,7862,289,119,41.2,138,47.8,4288,23156,11386,234,149,55,238,140,4961,462,
Opponent Total,,,27.1,13.0,7041,892,2416,3035,1664,269,7041,236,81,34.3,122,51.7,3615,17402,8287,163,118,53,208,140,4207,412,
