Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-055,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Micky van de Ven,nl NED,DF,24-226,12.9,3,8,3,37.5,0.62,0.23,0.38,1.0,9.2,0,0,0,1.6,1.6,0.2,1.4,1.4,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-121,11.6,2,18,7,38.9,1.55,0.6,0.11,0.29,18.2,2,0,0,1.5,1.5,0.08,0.5,0.5,Matches
João Palhinha,pt POR,MF,30-145,11.2,2,11,4,36.4,0.98,0.36,0.18,0.5,18.6,0,0,0,0.7,0.7,0.06,1.3,1.3,Matches
Pedro Porro,es ESP,DF,26-079,10.8,0,6,0,0.0,0.56,0.0,0.0,,23.4,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Djed Spence,eng ENG,DF,25-114,9.3,0,2,1,50.0,0.22,0.11,0.0,0.0,17.3,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
Cristian Romero,ar ARG,DF,27-218,9.3,0,3,2,66.7,0.32,0.21,0.0,0.0,15.5,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
Rodrigo Bentancur,uy URU,MF,28-159,8.4,1,6,1,16.7,0.72,0.12,0.17,1.0,17.2,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches
Richarlison,br BRA,FW,28-205,8.7,5,20,8,40.0,2.3,0.92,0.25,0.63,12.6,0,0,0,2.2,2.2,0.11,2.8,2.8,Matches
Pape Matar Sarr,sn SEN,MF,23-078,6.8,2,5,3,60.0,0.74,0.44,0.4,0.67,10.2,0,0,0,0.7,0.7,0.15,1.3,1.3,Matches
Xavi Simons,nl NED,"MF,FW",22-224,6.8,0,9,2,22.2,1.33,0.3,0.0,0.0,22.6,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Lucas Bergvall,se SWE,MF,19-302,5.4,1,6,3,50.0,1.1,0.55,0.17,0.33,11.4,0,0,0,0.6,0.6,0.1,0.4,0.4,Matches
Destiny Udogie,it ITA,DF,23-003,5.8,0,2,0,0.0,0.35,0.0,0.0,,11.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Brennan Johnson,wls WAL,FW,24-192,5.4,2,5,2,40.0,0.93,0.37,0.4,1.0,17.1,0,0,0,1.0,1.0,0.19,1.0,1.0,Matches
Kevin Danso,at AUT,DF,27-073,4.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Wilson Odobert,fr FRA,"FW,MF",21-003,5.3,0,9,2,22.2,1.69,0.38,0.0,0.0,13.1,0,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches
Randal Kolo Muani,fr FRA,FW,26-361,3.4,0,5,0,0.0,1.48,0.0,0.0,,8.0,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Mathys Tel,fr FRA,FW,20-218,2.9,2,6,2,33.3,2.1,0.7,0.33,1.0,16.2,0,0,0,0.5,0.5,0.08,1.5,1.5,Matches
Archie Gray,eng ENG,MF,19-264,1.5,0,1,0,0.0,0.69,0.0,0.0,,29.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Dominic Solanke,eng ENG,FW,28-078,0.4,0,2,1,50.0,5.45,2.73,0.0,0.0,15.0,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Squad Total,,,25.8,13.0,20,124,41,33.1,9.54,3.15,0.16,0.49,15.5,3,0,0,11.9,11.9,0.1,8.1,8.1,
Opponent Total,,,27.1,13.0,16,152,55,36.2,11.69,4.23,0.11,0.29,17.2,5,0,0,17.5,17.5,0.12,-1.5,-1.5,
